@AppleSupport are the call centres closed for the night?,,,,,,,,,,,,,,,,,COMPLAIN,(OR SUGGEST)
@115858 @AppleSupport do iPad Pro 10.5 supports YouTube HDR and on Netflix?,,,,,,,,,,,,,,,,,,
@AppleSupport how do I get my pictures back they were deleted out of no where?,,,,,,,,,,,,,,,,,,
how can I downgrade to iOS 10? @AppleSupport,,,,,,,,,,,,,,,,,,
"@115858 If i buy iPhone X facial recognition does not work at times, is there another way to turn on my phone? @AppleSupport",,,,,,,,,,,,,,,,,,
@AppleSupport who thought up wifi #password sharing?  Sounds like device thieves.  That's an #unsafe feature. Can I turn that off?,,,,,,,,,,,,,,,,,,
Why is it now SO hard to book an appt at the #geniusbar online?! @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport What happens if can't I close the app and turn off my device?,,,,,,,,,,,,,,,,,,
hey @AppleSupport any new updates to fix the messages bugs as well as the updating apps bugs? Its getting ridiculous that in order to update my apps I have to restart my phone bc it won't update on its own and freezes everything,,,,,,,,,,,,,,,,,,
"My iPhone isn't working very well since their latest ""update"". What gives @AppleSupport ?",,,,,,,,,,,,,,,,,,
#apple #iPhone #Mexico @AppleSupport how can i change the way new #ios1102 hide or change between apps? I getting dizzy when i do...,,,,,,,,,,,,,,,,,,
Hey @AppleSupport why does my phone keep putting itself on shuffle?!,,,,,,,,,,,,,,,,,,
@325626 @AppleSupport Did they fix it for you?,,,,,,,,,,,,,,,,,,
"@115858 @AppleSupport What gives with 10.3.3 and battery life!? Holy moly, guys!",,,,,,,,,,,,,,,,,,
@AppleSupport Apple?,,,,,,,,,,,,,,,,,,
@AppleSupport where the hell is the 'Purchased' tab on the iPad AppStore app?!? @115858,,,,,,,,,,,,,,,,,,
@AppleSupport my iPhone battery is draining significantly faster after the update to IOS 11.0.3. Is there anything I can do to correct this?,,,,,,,,,,,,,,,,,,
@AppleSupport @115858 @115948 So????,,,,,,,,,,,,,,,,,,
"@AppleSupport 5,000 of my photos have disappeared off of my iPhone. Can you help?",,,,,,,,,,,,,,,,,,
@AppleSupport Any update on this? Does apple planning to resolve this issues. If not pls give is way back to ios10. Atleast my phone works like charm,,,,,,,,,,,,,,,,,,
@AppleSupport why does my watch face keeps enlarging itself without me touching it? Have to remove from wrist to revert to normal font?,,,,,,,,,,,,,,,,,,
@AppleSupport I've rec'd a possible scam email from AppleSupport/iTunes. Where can I forward it to for you to check it out please?,,,,,,,,,,,,,,,,,,
@AppleSupport My iPhone 6s battery drains really fast could you help me?,,,,,,,,,,,,,,,,,,
@AppleSupport can you just turn up to Apple Stores to get your broken screen fixed?,,,,,,,,,,,,,,,,,,
@AppleSupport Can you give me that email address? I don't see it on the FAQ page.,,,,,,,,,,,,,,,,,,
"@AppleSupport I've read all of the FAQs, there's nothing in there about how to update a description. Is there a number I can call?",,,,,,,,,,,,,,,,,,
@AppleSupport I'm having trouble finding out who to contact! I need to update the description of my podcast. Any advice?,,,,,,,,,,,,,,,,,,
@AppleSupport  Can you explain why I have to visit an store 3x for a simple display repair?!!,,,,,,,,,,,,,,,,,,
@AppleSupport Hey guys! My account it's associate to a cellphone number that i'm not using anymore. Can you change it to my new one?,,,,,,,,,,,,,,,,,,
"Since update, when podcast ends I have to unlock phone, open app, find next ep, push play. While driving??? Thanks @115858 @AppleSupport",,,,,,,,,,,,,,,,,,
@AppleSupport Thanks for the DM reply - but can you explain WHY you removed this useful feature? Why change something that was perfect?,,,,,,,,,,,,,,,,,,
Finally updated my iPhone iOS - how the hell do I set out of office replies? Function seems to have totally disappeared @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport is there any way i can recover them without reseting the phone?,,,,,,,,,,,,,,,,,,
@AppleSupport Is there a way to have emails marked as read not immediatley but rather after a few seconds? Thanks!,,,,,,,,,,,,,,,,,,
Has anyones iPhone just started randomly bleeping really loud? Never heard that noise before I thought it was the smoke alarm @AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport Please help, every time i switch on my phone it resends messages from like a year ago???",,,,,,,,,,,,,,,,,,
Hey @115858 @AppleSupport I updated to iOS 11 and now my phone is basically a brick. How can I undo? Cmd + Z?,,,,,,,,,,,,,,,,,,
"@AppleSupport I mean, When you will fix that problem on iOS 11.0.3 ?",,,,,,,,,,,,,,,,,,
@AppleSupport @234782 Are u addressing the battery drain on 11.0.3?,,,,,,,,,,,,,,,,,,
@AppleSupport Will there be iPhone X stock reserved for Upgrade Programme customers in the UK when pre orders open? Thanks,,,,,,,,,,,,,,,,,,
@AppleSupport Where is the iCloud drive on an iPhone?,,,,,,,,,,,,,,,,,,
@AppleSupport On my phone??,,,,,,,,,,,,,,,,,,
@AppleSupport what am I buying 2TB's of iCloud storage for? Where do I locate my things stored in the iCloud?,,,,,,,,,,,,,,,,,,
@AppleSupport you do realise when you mark an email read you want it to be read?,,,,,,,,,,,,,,,,,,
@AppleSupport my iPhone7 didn't come with an earphone transmitter but all others I know of did. Pls can I ask why I didn't get one? Thanks,,,,,,,,,,,,,,,,,,
@AppleSupport where the touch id fix? 11.0.3 is messed up!,,,,,,,,,,,,,,,,,,
@AppleSupport my iPhone 6 is nearly unusable since upgrade to iOS 11. Are you going to fix performance and battery drain?,,,,,,,,,,,,,,,,,,
@AppleSupport @115858 why does the iPhone with two speakers only have one that works?! #perplexed,,,,,,,,,,,,,,,,,,
@AppleSupport Does the Clips app only support videos in square format?,,,,,,,,,,,,,,,,,,
@AppleSupport it keeps changing from charging to not charging its been 3 hours and not even on 100% yet ??? is this normal,,,,,,,,,,,,,,,,,,
@AppleSupport Sounds boring. Can you do it for me?,,,,,,,,,,,,,,,,,,
@AppleSupport I read that it might be a driver sync situation but that the Quicktime drivers are on the cloud now? It was working fine most of the day 2/n,,,,,,,,,,,,,,,,,,
"@AppleSupport I can't get support (only phone calls, really Apple?!) cuz you need a serial number, but iTunes DOESNT HAVE ONE!!! #notworking",,,,,,,,,,,,,,,,,,
Why don't my custom ringtones work after upgrading my iPhone IOS @AppleSupport ???? Grrrrrr,,,,,,,,,,,,,,,,,,
@AppleSupport my ipad says it is up to date with ios 9.3.5???? what gives???,,,,,,,,,,,,,,,,,,
@AppleSupport I should be able to turn down volume before opening a video on safari. Why was this feature removed? This is a risky game,,,,,,,,,,,,,,,,,,
@AppleSupport why won't iTunes shuffle anymore? It's says ask Siri to do it. Why did you screw up iTunes? I only buy iPhone for tunes. Fix?,,,,,,,,,,,,,,,,,,
"Dear @AppleSupport:Why did you launch such a sh*tty update? My phone keeps freezing while using, delaying apps, and turning off every week",,,,,,,,,,,,,,,,,,
@AppleSupport Do you mean connect my iphone to my computer?,,,,,,,,,,,,,,,,,,
@AppleSupport hi I have been charged twice for my storage plan this month. How to I sort out getting one of them refunded?,,,,,,,,,,,,,,,,,,
How do I make the Apple podcasts app play all episodes one after the other like it used to?! Anyone?@AppleSupport @318,,,,,,,,,,,,,,,,,,
@AppleSupport why does my WiFi not want to stay connected??,,,,,,,,,,,,,,,,,,
@AppleSupport since the latest iOS update my iPhone 6S randomly shuts off and/or restarts without warning. What gives?,,,,,,,,,,,,,,,,,,
@AppleSupport Why DM? Something on the new op system is clearly draining the battery as nothing else has been changed. What have you done?,,,,,,,,,,,,,,,,,,
@AppleSupport Can U tell me how can I measure the blood preasure by health application? Cause Apple Watch can measure only my pulse,,,,,,,,,,,,,,,,,,
When is @115858 going to fix their #voicemail app? It hasn't been fully functional for YEARS. @AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport my iPhone 7 turned into a piece of junk with your last update. It freezes all the time!!, What happened?",,,,,,,,,,,,,,,,,,
#iphone sooo much slower with #ios1103 anyone else? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport why is my Apple ID disable?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, how can I report an iTunes defect?",,,,,,,,,,,,,,,,,,
"@AppleSupport Ok and what if the problem is still exist after updating , so what will be your solution for that ???)",,,,,,,,,,,,,,,,,,
"@AppleSupport And when find something else , while am trying to open settings its take looong time to load settings screen , really ???!",,,,,,,,,,,,,,,,,,
@AppleSupport @328062 You keep telling people to do methods that won't work? I mean seriously,,,,,,,,,,,,,,,,,,
@AppleSupport The screen freeze on the app while the phone is ringing and when its allow me to answer guess what ? The phone call freeze too and drop off,,,,,,,,,,,,,,,,,,
"@AppleSupport, are you aware that many people are having issues with bluetooth on iOS 11 and can you confirm that this is going to be fixed?",,,,,,,,,,,,,,,,,,
So is there no sleep timer in the Podcast app anymore on iOS @AppleSupport ?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi guys, I think the battery in my iPhone 5S is swollen from what I've read online. What do I do?",,,,,,,,,,,,,,,,,,
@AppleSupport Just happened again- I was switching away from mail using hot corners. I also have an external display. Maybe its hot corners? Also pls DM,,,,,,,,,,,,,,,,,,
@AppleSupport How do I search for Notes not in a folder? Trying to figure out how to separate ones that need to be organized from those that don't.,,,,,,,,,,,,,,,,,,
@AppleSupport can I access anything I put in my Files from any device through iCloud? #iOS11,,,,,,,,,,,,,,,,,,
@115858 @AppleSupport @115948 why did my phone delete all of my playlists and remove all of my music?,,,,,,,,,,,,,,,,,,
@AppleSupport any chance of a quick chat with support tech?,,,,,,,,,,,,,,,,,,
"@AppleSupport Upgraded iphone7 to ios11.0.3, phone completely frozen, cannot open any app, cannot restart (even pressing the button on the right of the phone), cannot restore through iTunes because Find My iPhone is activated (cannot access my settings to deactivate it)!Any Help?",,,,,,,,,,,,,,,,,,
"@AppleSupport yesterday while my iPhone was charging,Siri activated herself, made a research about gold and start reading it lmao, is this usually happen?",,,,,,,,,,,,,,,,,,
"@AppleSupport Can I get some help? I cannot seem to sign in to Apple Music, nor can I download any updates for apps, or any apps either.",,,,,,,,,,,,,,,,,,
@AppleSupport does this happen with @115888 @SpotifyCares ?,,,,,,,,,,,,,,,,,,
"@AppleSupport I want to kill myself,... this freezed iphone makes me annoying after ios 11 Can i defrost it ?",,,,,,,,,,,,,,,,,,
@AppleSupport your new update sucks! Constant requests for password and verify. Info given then told incorrect? FU,,,,,,,,,,,,,,,,,,
WHY WON'T MY PHONE HOLD A FRICKIN CHARGE?! @AppleSupport @115858 @119341,,,,,,,,,,,,,,,,,,
@AppleSupport is there a reason my phone wont acknowledge Spotify in my control centre in iOS 11? Or the button on my headphones,,,,,,,,,,,,,,,,,,
"@115858 @AppleSupport Can you bring back notifications pop up window things? Banners are too fleeting, small, and unnoticeable.",,,,,,,,,,,,,,,,,,
@AppleSupport any reason why my phone has yet to receive the new iOS 11 update?,,,,,,,,,,,,,,,,,,
Anyone else having battery and iOS issues after the new 11.0.2 update on their iPhone 6plus? @AppleSupport any ideas? I had to factory rest,,,,,,,,,,,,,,,,,,
@AppleSupport hi! I just purchased an apple watch in one of the stores but my online receipt didn't come through. What to do?,,,,,,,,,,,,,,,,,,
@AppleSupport how do you fix the battery draining problem after the 11.0.3 upgrade???  Draining as I type :(,,,,,,,,,,,,,,,,,,
"@AppleSupport hi, Canadian iPhone 7 plus here. Can I get service on it in Australia? Still in warranty! Thank you!",,,,,,,,,,,,,,,,,,
"@AppleSupport No, using only 1 user...crash frequency twice a day...also, now not getting any pop-up to send crash details to you...what to do?",,,,,,,,,,,,,,,,,,
"In #iOS11 on my iPhone 8 Plus, #message app keyboard keeps changing, sounds turn on and off, I cant fix any of it? Help? @AppleSupport",,,,,,,,,,,,,,,,,,
Anyone else having problems with messages on iOS11? Keep getting a thing where keyboard obscures last 2 or 3 messages. Sigh @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport Brightness down the the bottom but 1 hour after my phones at 1% where as before it was at 72% any ideas? Going to be upgrading to a 7 soon,,,,,,,,,,,,,,,,,,
No custom ringtones (even those from iTunes) work with the new iOS update. Do @115858 want everyone's phone to sound the same @AppleSupport?,,,,,,,,,,,,,,,,,,
"@AppleSupport @38625 @200998 ... I launch GoogleMaps on my iPhone, I lose cellular connection. Every time. Can one of you help?",,,,,,,,,,,,,,,,,,
@AppleSupport New iPhone 7 keeps shutting off by itself. Any thoughts?,,,,,,,,,,,,,,,,,,
@AppleSupport WHAT?! Oh man!,,,,,,,,,,,,,,,,,,
"@AppleSupport hello, am I able to hand in another iPhone and pay money on top for a new model?",,,,,,,,,,,,,,,,,,
@AppleSupport What application do I have to get to download videos on twitter?,,,,,,,,,,,,,,,,,,
what app I gotta download to get videos here? @115858 @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport Yes it does. Should I update it?,,,,,,,,,,,,,,,,,,
"@AppleSupport ...support was very polite, and very understanding, and very apologetic but not helpful - and that is the ultimate goal of support isn't it?",,,,,,,,,,,,,,,,,,
@AppleSupport ...before it walked me through the steps and allowed me to enter the new account info? I'm besides myself and now have to try to buy...,,,,,,,,,,,,,,,,,,
"iOS 11 is draining the battery of my iPhone 6s Plus, it goes from 100% to 40% in two hours and a half, any advice @AppleSupport ?",,,,,,,,,,,,,,,,,,
@AppleSupport Will the iPhone 7 go on sale soon? And how much less will it cost?,,,,,,,,,,,,,,,,,,
@AppleSupport How do I do that? You guys released ios11 not Nissan. Everything worked before this stupid update.,,,,,,,,,,,,,,,,,,
"@AppleSupport My Apple watch timelapse face is out of sync.. Daytime at night, Night during the day. Time is correct though. What can I do??",,,,,,,,,,,,,,,,,,
Anyone know why my iPhone 6s is crashing/freezing since installing ios11?? @AppleSupport,,,,,,,,,,,,,,,,,,
"@AppleSupport Since iOS 11.0.3 update, iPhone 5, batt charge levels drop like rock. What did Apple do?Won't update other phones till fixed.",,,,,,,,,,,,,,,,,,
"@AppleSupport if I have a downloaded video in Files, how do I remove it (from my device) without deleting it from the cloud?",,,,,,,,,,,,,,,,,,
"@AppleSupport Again, @AppleSupport @115858 is there a way one can go back to a working release of your iOS ? Namely 10.3.3 14G60 ?",,,,,,,,,,,,,,,,,,
"Hey @AppleSupport, can you please provide a way to go back to iOS 10 ? #iOS11 gets only worst with every release : freezes, crashes, bugs...",,,,,,,,,,,,,,,,,,
@AppleSupport is iMessage down ?,,,,,,,,,,,,,,,,,,
@AppleSupport why my photos not backing up ?,,,,,,,,,,,,,,,,,,
"@AppleSupport 2/2 -card info, in order to de block my account. Is this normal? Do you ask for credit card info, or is this a hack?",,,,,,,,,,,,,,,,,,
@AppleSupport Hello? Can someone please reply? It's almost been an hour of this and now my phone is heating up. I really need your help. Info in DM,,,,,,,,,,,,,,,,,,
